name,href,location,active_years,description
Louise Glück,https://www.rekhta.org/poets/louise-gl-ck,,1943 -2023,"Celebrated American poet and Nobel Laureate. Known for her thematically profound poetry that interrogates themes of personal trauma, familial dynamics, and the human relationship with nature."
Lubna Ghazal,https://www.rekhta.org/authors/lubna-ghazal,Karachi,,
Lubna Safdar,https://www.rekhta.org/poets/lubna-safdar,,,
Lucky farooqi Hasrat,https://www.rekhta.org/poets/lucky-farooqi-hasrat,Muzaffarnagar,1990,
Lutf Harooni,https://www.rekhta.org/poets/lutf-harooni,,,
Lutfullah Khan Nazmi,https://www.rekhta.org/authors/lutfullah-khan-nazmi,Bhopal,1907 -1985,
Lutfunnisa Imtiyaz,https://www.rekhta.org/poets/lutfunnisa-imtiyaz,Aurangabad,1761,
Lutf-ur-rahman,https://www.rekhta.org/poets/lutf-ur-rahman,Patna,1941,
M I Zaahir,https://www.rekhta.org/poets/m-i-zaahir,Jodhpur,1972,
M K Mahtab,https://www.rekhta.org/authors/m-k-mahtab,,,
M Kothiyavi Rahi,https://www.rekhta.org/poets/m-kothiyavi-rahi,,1935 -2005,
M Mobeen,https://www.rekhta.org/authors/m-mobeen,Nashik,1958,"Noted story writer, known for his stories on sensitive social issues."
M R Qasmi,https://www.rekhta.org/poets/m-r-qasmi,Delhi,1953,
M. A. Qadeer,https://www.rekhta.org/poets/m-a-qadeer,,,
M. A. Shamsi,https://www.rekhta.org/poets/m-a-shamsi,,,
M. Gumnam,https://www.rekhta.org/authors/m-gumnam,,,
M. I. Sajid,https://www.rekhta.org/authors/m-i-sajid-1,,1946,
M. J. Khalid,https://www.rekhta.org/authors/m-j-khalid,,,
M. K. Asar,https://www.rekhta.org/authors/m-k-asar,Kolkata,1945,
M. Mukundan,https://www.rekhta.org/authors/m-mukundan,,1942,
M. N. Narhari,https://www.rekhta.org/poets/m-n-narhari,,,
M. Nasrullah Nasr,https://www.rekhta.org/authors/m-nasrullah-nasr,Howrah,1957,
M. P. Narayana Pillai,https://www.rekhta.org/authors/m-p-narayana-pillai,,1939 -1998,
M. S. Naz,https://www.rekhta.org/authors/m-s-naz,,,
M. S. Rahi,https://www.rekhta.org/poets/m-s-rahi,Gaya,1941,
M. Usman Shakir,https://www.rekhta.org/poets/m-usman-shakir,Austria,1980,
M.S Mahawar,https://www.rekhta.org/poets/ms-mahawar,Rajasthan,1991,
Maaham Shah,https://www.rekhta.org/poets/maaham-shah,Karachi,1997,
Maatam Fazl Mohammad,https://www.rekhta.org/poets/maatam-fazl-mohammad,Hyderabad,1815 -1897,
Maaz Aiz,https://www.rekhta.org/poets/maaz-aiz,Kolhapur,1997,
Machis Lakhnavi,https://www.rekhta.org/poets/machis-lakhnavi,,1918 -1970,
Madan Mohan Danish,https://www.rekhta.org/poets/madan-mohan-danish,Gwalior,1961,
Madan Mohan Upendra,https://www.rekhta.org/poets/madan-mohan-upendra,,,
Madan pal,https://www.rekhta.org/poets/madan-pal,Mumbai,,
Madhav Awana,https://www.rekhta.org/poets/madhav-awana,Noida,1974,
Madhav Jha,https://www.rekhta.org/poets/madhav-jha,Madhubani,1997,
Madhav Kaushik,https://www.rekhta.org/poets/madhav-kaushik,Chandigarh,1954,
Madhav Noor,https://www.rekhta.org/poets/madhav-noor,,,
Madhavi Shankar,https://www.rekhta.org/poets/madhavi-shankar,Ghaziabad,1981,
Madho Kaushik,https://www.rekhta.org/poets/madho-kaushik,,1954,
Madhosh Bilgrami,https://www.rekhta.org/authors/madhosh-bilgrami,Hyderabad,1944,
Madhu Gupta,https://www.rekhta.org/poets/madhu-gupta,Nagpur,,
Madhu Madhuman,https://www.rekhta.org/poets/madhu-madhuman,Patiala,,
Madhu Mangesh Karnik,https://www.rekhta.org/authors/madhu-mangesh-karnik,,1931,
Madhukar Jha Khuddar,https://www.rekhta.org/poets/madhukar-jha-khuddar,,,
Madhukar Shaidai,https://www.rekhta.org/poets/madhukar-shaidai,,1951,
Madhurima Singh,https://www.rekhta.org/authors/madhurima-singh,,1956,
Madhuvan Rishi Raj,https://www.rekhta.org/poets/madhuvan-rishi-raj,Delhi,,
Mael Lakhnavi,https://www.rekhta.org/poets/mael-lakhnavi,,1905 -1968,
Maftoon Dehlvi,https://www.rekhta.org/poets/maftoon-dehlvi,,,
Maftun Aurangabadi,https://www.rekhta.org/poets/maftun-aurangabadi,,,
Maftun Kotvi,https://www.rekhta.org/authors/maftun-kotvi,,1918 -1980,
Mah Jabeen Najm,https://www.rekhta.org/authors/mah-jabeen-najm,,,
Mah Lakhnavi,https://www.rekhta.org/poets/mah-lakhnavi,,,
Mah Laqa Chanda,https://www.rekhta.org/poets/mah-laqa-chanda,Hyderabad,1768 -1824,
Mah Talat Zahidi,https://www.rekhta.org/poets/mah-talat-zahidi,Multan,1953 -2020,
Maham Khan,https://www.rekhta.org/poets/maham-khan,Virginia,1995,
Maharaja Sir Kishan Parashad Shad,https://www.rekhta.org/poets/maharaja-sir-kishan-parashad-shad,Hyderabad,1864 -1940,Great promoter & patron of poetry and arts at Hyderabad who became Prime Minister of the state in 1901
N. P. Mohammed,https://www.rekhta.org/poets/n-p-mohammed,,1929 -2003,
Naaz Muradabadi,https://www.rekhta.org/poets/naaz-muradabadi,Moradabad,1936,
Nabeel Ahmad Nabeel,https://www.rekhta.org/poets/nabeel-ahmad-nabeel,Lahore,1982,
Nabi Bakhsh Nayab,https://www.rekhta.org/authors/nabi-bakhsh-nayab,,,
Nabil,https://www.rekhta.org/poets/nabil,Vadodara,1974,
Nabiul Hasan Shamim,https://www.rekhta.org/authors/nabiul-hasan-shamim,,,
Nadeem ahmad,https://www.rekhta.org/poets/nadeem-ahmad,Kolkata,1979,Critic & Poet
Nadeem Ajmal Adeem,https://www.rekhta.org/poets/nadeem-ajmal-adeem,,,
Nadeem Asghar,https://www.rekhta.org/poets/nadeem-asghar,Gujranwala,1980,
Nadeem Bhabha,https://www.rekhta.org/poets/nadeem-bhabha,Lahore,1977,
Nadeem Farrukh,https://www.rekhta.org/poets/nadeem-farrukh,Kasganj,1970,
Nadeem Fazli,https://www.rekhta.org/poets/nadeem-fazli,Bhiwandi,1959,
Nadeem Goyai,https://www.rekhta.org/poets/nadeem-goyai,,,
Nadeem Gullani,https://www.rekhta.org/poets/nadeem-gullani,Pakistan,1982,
Nadeem Mahir,https://www.rekhta.org/poets/nadeem-mahir,Qatar,1970,
Nadeem Najid,https://www.rekhta.org/poets/nadeem-najid,,,Contemporary Pakistani poet with widespread popularity and appeal among diverse audiences.
Nadeem Naqsh Jewari,https://www.rekhta.org/poets/nadeem-naqsh-jewari,Gautam Buddh Nagar,1995,
Nadeem Rafi,https://www.rekhta.org/poets/nadeem-rafi,,,
Nadeem Siddiqui,https://www.rekhta.org/poets/nadeem-siddiqui,Mumbai,1951,
Nadeem Sirsivi,https://www.rekhta.org/poets/nadeem-sirsivi,,,
Nadim Ashrafi Burhanpuri,https://www.rekhta.org/authors/nadim-ashrafi-burhanpuri,,,
Nadim Balkhi,https://www.rekhta.org/authors/nadim-balkhi,,,
Nadim Nadeem,https://www.rekhta.org/poets/nadim-nadeem,Kasganj,1994,
Nadir Areez,https://www.rekhta.org/poets/nadir-areez,Lal Suhanra,1993,
Nadir Kakorvi,https://www.rekhta.org/poets/nadir-kakorvi,Lucknow,1857 -1912,
Nadir Shahjahanpuri,https://www.rekhta.org/poets/nadir-shahjahanpuri,,1890 -1963,
Nadir Siddiqui,https://www.rekhta.org/poets/nadir-siddiqui,,,
Nadiya ambar lodhi,https://www.rekhta.org/poets/nadiya-ambar-lodhi,Islamabad,,
Naeem Akhtar,https://www.rekhta.org/poets/naeem-akhtar,,,
Naeem Akhtar Khadimi,https://www.rekhta.org/poets/naeem-akhtar-khadimi,Burhanpur,,
Naeem Arvi,https://www.rekhta.org/authors/naeem-arvi,,,
Naeem Badauni,https://www.rekhta.org/poets/naeem-badauni,Badayun,1969,
Naeem Beg,https://www.rekhta.org/authors/naeem-beg,Lahore,1952,
Naeem Dehlavi,https://www.rekhta.org/authors/naeem-dehlavi,,,
Naeem Faraz,https://www.rekhta.org/poets/naeem-faraz,,1980,
Naeem Ghazi,https://www.rekhta.org/poets/naeem-ghazi,,,
Naeem Gilani,https://www.rekhta.org/poets/naeem-gilani,Punjab,1972,
Naeem Naaz,https://www.rekhta.org/poets/naeem-naaz,,,
Naeem Raza Bhatti,https://www.rekhta.org/poets/naeem-raza-bhatti,Mandi Bahauddin,1988,
Naeem Saba,https://www.rekhta.org/authors/naeem-saba,,,
Naeem Sahil,https://www.rekhta.org/poets/naeem-sahil,Allahabad,1964,
Naeem Sameer,https://www.rekhta.org/poets/naeem-sameer,Karachi,,
Naeem Sarmad,https://www.rekhta.org/poets/naeem-sarmad,Delhi,1992,
Naeem Waqif,https://www.rekhta.org/poets/naeem-waqif,,1980,
Naeem Zarrar Ahmad,https://www.rekhta.org/poets/naeem-zarrar-ahmad,Lahore,1965,
Naeema Jafri Pasha,https://www.rekhta.org/authors/naeema-jafri-pasha,Delhi,1954,Important female fiction writer who drew upon sensitive social issues
Nafas Ambalvi,https://www.rekhta.org/poets/nafas-ambalvi,Ambala,1961,
Nafeer Sarmadi,https://www.rekhta.org/poets/nafeer-sarmadi,,,
Nafees Ahmad Sahar,https://www.rekhta.org/authors/nafees-ahmad-sahar,,,
Nafees Bano,https://www.rekhta.org/authors/nafees-bano,Banaras,1951,
Obaid Azam Azmi,https://www.rekhta.org/poets/obaid-azam-azmi,Mumbai,1970,
Obaid Haris,https://www.rekhta.org/poets/obaid-haris,Maharashtra,1990,
Obaid Siddiqi,https://www.rekhta.org/poets/obaid-siddiqi,Delhi,1957 -2020,"Associated with BBC Urdu Service. Also served as the Director of MCRC, Jamia Millia Islamia."
Obaidullah Aleem,https://www.rekhta.org/poets/obaidullah-aleem,Karachi,1939 -1998,One of the most outstanding modern poets of Pakistan.
Obaidullah Khan Mubtala,https://www.rekhta.org/poets/obaidullah-khan-mubtala,,,
Obaidullah Siddiqui,https://www.rekhta.org/poets/obaidullah-siddiqui,,,
Obaidur Rahman,https://www.rekhta.org/poets/obaidur-rahman,Delhi,1961 -2014,
Obaidur Rahman Azmi,https://www.rekhta.org/poets/obaidur-rahman-azmi,Azamgarh,,
Obaidurrahman Niyazi,https://www.rekhta.org/poets/obaidurrahman-niyazi,Dubai,1987,
Octavio Paz,https://www.rekhta.org/poets/octavio-paz,,1914 -1998,"Renowned Mexican poet and diplomat, was awarded the Nobel Prize in Literature in 1990."
Om Awasthi,https://www.rekhta.org/poets/om-awasthi,Rewa,1996,
Om Bhutkar Maghloob,https://www.rekhta.org/poets/om-bhutkar-maghloob,Pune,1991,
Om Krishn Rahat,https://www.rekhta.org/poets/om-krishn-rahat,Faridabad,1925,
Om Parkash Bajaj,https://www.rekhta.org/poets/om-parkash-bajaj,,1922,
Om Prabhakar,https://www.rekhta.org/poets/om-prabhakar,,1941,
Om Prakash Chaturvedi Parag,https://www.rekhta.org/poets/om-prakash-chaturvedi-parag,,,
Om Prakash Laghar,https://www.rekhta.org/poets/om-prakash-laghar,Faridabad,1924,
Om Prakash Meghwanshi,https://www.rekhta.org/poets/om-prakash-meghwanshi,Ajmer,1991,
Om Raz,https://www.rekhta.org/poets/om-raz,,,
Omaima Yusuf,https://www.rekhta.org/poets/omaima-yusuf,Lahore,,
Omainuz Zahra Sayyad,https://www.rekhta.org/poets/omainuz-zahra-sayyad,Sargodha,2000,
Omprakash Yati,https://www.rekhta.org/poets/omprakash-yati,,,
Onkar Singh Vivek,https://www.rekhta.org/poets/onkar-singh-vivek,Rampur,1965,
Osaama ameer,https://www.rekhta.org/poets/osaama-ameer,Karachi,1998,
Osama Jamil,https://www.rekhta.org/poets/osama-jamil,Rawalpindi,1998,
Osama Khalid,https://www.rekhta.org/poets/osama-khalid,Muzaffargarh,1998,
Osama Muneer,https://www.rekhta.org/poets/osama-muneer,,,
Osama Zakir,https://www.rekhta.org/poets/osama-zakir,Delhi,1988,
Oscar Wilde,https://www.rekhta.org/authors/oscar-wilde,Paris,1854 -1900,"Irish poet, Fiction Writer and playwright"
Owais Ahmad Dauran,https://www.rekhta.org/poets/owais-ahmad-dauran,Bihar,1938,Prominent progressive poet known for his biograpghy 'Meri Kahani' and nazm 'ik bevafa ke naam'
Ozair Rahman,https://www.rekhta.org/poets/ozair-rahman,Delhi,1949,
Ozair Yusuf,https://www.rekhta.org/poets/ozair-yusuf,Punjab,1989,
P P Srivastava Rind,https://www.rekhta.org/poets/p-p-srivastava-rind,Noida,1950,Well-known poet/Living in Noida
P. C. Kuttikrishnan,https://www.rekhta.org/authors/p-c-kuttikrishnan,,1915 -1979,
P. Keshav Dev,https://www.rekhta.org/authors/p-keshav-dev,,,
Pablo Neruda,https://www.rekhta.org/authors/pablo-neruda,,1904 -1973,
Pagal Adilabadi,https://www.rekhta.org/poets/pagal-adilabadi,Hyderabad,1941 -2007,
Paigham Aafaqi,https://www.rekhta.org/authors/paigham-aafaqi,,1956 -2016,Prominent post-modernist fiction writer and poet; known well for his novel Paleeta.
Paikan Chandpuri,https://www.rekhta.org/authors/paikan-chandpuri,,,
Paikar Jafari,https://www.rekhta.org/authors/paikar-jafari,,,
Paikar Yazdani,https://www.rekhta.org/authors/paikar-yazdani,Saharanpur,,
Pakiza Beg,https://www.rekhta.org/poets/pakiza-beg,England,,
Pallav Mishra,https://www.rekhta.org/poets/pallav-mishra,Delhi,1998,Young Urdu Poet
Pallavi Mishra,https://www.rekhta.org/poets/pallavi-mishra,Delhi,1962,
Pandit Aks Lucknowi,https://www.rekhta.org/poets/pandit-aks-lucknowi,Australia,1964,
Pandit Chandr Bhan Barahman,https://www.rekhta.org/poets/pandit-chandr-bhan-barahman,,1574 -1662,
Pandit Daya Shankar Naseem Lakhnawi,https://www.rekhta.org/poets/pandit-daya-shankar-naseem-lakhnawi,Lucknow,1811 -1845,"One of the most celebrated 19th century Lucknow poets, author of the renowned masnavi gulzaar-e-naseem"
Pandit Jagmohan Nath Raina Shauq,https://www.rekhta.org/poets/pandit-jagmohan-nath-raina-shauq,Shahjahanpur,1863,
Pandit Jawahar Nath Saqi,https://www.rekhta.org/poets/pandit-jawahar-nath-saqi,Delhi,1864 -1916,
Pandit Tribhuvannath Zutshi Zar Dehlvi,https://www.rekhta.org/poets/pandit-tribhuvannath-zutshi-zar-dehlvi,,-1956,
Pandit Vidya Rattan Asi,https://www.rekhta.org/poets/pandit-vidya-rattan-asi,Jammu,1938 -2019,
Pankaj Sarhadi,https://www.rekhta.org/poets/pankaj-sarhadi,,,
Pankaj Subeer,https://www.rekhta.org/poets/pankaj-subeer,Madhya Pradesh,1975,
Panna Lal Noor,https://www.rekhta.org/poets/panna-lal-noor,,,
Panna Lal Patel,https://www.rekhta.org/authors/panna-lal-patel,,,
Paras Mazari,https://www.rekhta.org/poets/paras-mazari,Bahawalpur,1985,
Paraveen Rai,https://www.rekhta.org/poets/paraveen-rai,Ghazipur,1995,
Pardeep Sahil,https://www.rekhta.org/poets/pardeep-sahil,,,
Pareshan Lakhnavi,https://www.rekhta.org/poets/pareshan-lakhnavi,,,
Parkash Fikri,https://www.rekhta.org/poets/parkash-fikri,Ranchi,1931 -2008,"Zahirul Haq alias Prakash Fikri, was a modernist Urdu poet famous for his collections of poetry such as; Safar Sitara and Ek Zara Si Barish."
Parkash Nath Parvez,https://www.rekhta.org/poets/parkash-nath-parvez,Aligarh,1930,
Parmod Lal Yakta,https://www.rekhta.org/authors/parmod-lal-yakta,,,
Parsa Kausari,https://www.rekhta.org/poets/parsa-kausari,,,
Partav Rohila,https://www.rekhta.org/poets/partav-rohila,Khyber Pakhtunkhwa,1932 -2016,"Poet, Researcher and Translator/Known for Urdu translation of Ghalib’s Persian letters."
Parul Singh Noor,https://www.rekhta.org/poets/parul-singh-noor,Delhi,1989,
Parveen Atif,https://www.rekhta.org/authors/parveen-atif,Lahore,1935 -2018,
Parveen Fana Syed,https://www.rekhta.org/poets/parveen-fana-syed,Rawalpindi,1936 -2010,
Parveen Kaif,https://www.rekhta.org/poets/parveen-kaif-1,Bhopal,1956,
Parveen Kumar Ashk,https://www.rekhta.org/poets/parveen-kumar-ashk,Pathankot,1951,
Parveen Mirza,https://www.rekhta.org/poets/parveen-mirza,London,,
Parveen Sajal,https://www.rekhta.org/poets/parveen-sajal,,,
Parveen Shaghaf,https://www.rekhta.org/poets/parveen-shaghaf,Delhi,1980,
Parveen Shakir,https://www.rekhta.org/poets/parveen-shakir,Karachi,1952 -1994,One of the most popular woman poets who gave expression to feelings and experiences specific to women.
Parveen Sultana Saba,https://www.rekhta.org/poets/parveen-sultana-saba,Canada,1959,
Parveen Tahir,https://www.rekhta.org/poets/parveen-tahir,Rawalpindi,1958,
Parveen Umm-e-Mushtaq,https://www.rekhta.org/poets/parveen-umm-e-mushtaq,Delhi,1866,
Parvez Ahmad Parvez,https://www.rekhta.org/poets/parvez-ahmad-parvez,Jamshedpur,1968,
Parvez akhtar,https://www.rekhta.org/poets/parvez-akhtar,Bijnor,1966,
Parvez Anjum,https://www.rekhta.org/authors/parvez-anjum,Kolkata,,
Parvez Ashrafi,https://www.rekhta.org/authors/parvez-ashrafi,Delhi,1955,
Parvez Baghi,https://www.rekhta.org/poets/parvez-baghi,,,
Parvez Bazmi,https://www.rekhta.org/poets/parvez-bazmi,,,
Qabil Ajmeri,https://www.rekhta.org/poets/qabil-ajmeri,Hyderabad,1931 -1962,
Qabil Dehlvi,https://www.rekhta.org/poets/qabil-dehlvi,,,
Qadeemi,https://www.rekhta.org/poets/qadeemi,,,
Qadeer Ayaz,https://www.rekhta.org/poets/qadeer-ayaz,,1951,
Qadeer Lakhnavi,https://www.rekhta.org/poets/qadeer-lakhnavi,,1898 -1969,
Qadeer Piyarepuri,https://www.rekhta.org/authors/qadeer-piyarepuri,Bahraich,1914 -1968,
Qadir Khan Sartaj,https://www.rekhta.org/poets/qadir-khan-sartaj,England,,
Qadir Siddiqi,https://www.rekhta.org/poets/qadir-siddiqi,Lucknow,1923,
Qadr Aurangabadi,https://www.rekhta.org/poets/qadr-aurangabadi,,-1785,
Qadr Bilgrami,https://www.rekhta.org/poets/qadr-bilgrami,Lucknow,1933 -1884,
Qadr Oraizi,https://www.rekhta.org/poets/qadr-oraizi,,,"A poet of classical temper from Hyderabad, known for his Rubais"
Qais Jalandhari,https://www.rekhta.org/poets/qais-jalandhari,Jalandhar,1904 -1994,
Qais Kakorvi,https://www.rekhta.org/poets/qais-kakorvi,,,
Qais Rampuri,https://www.rekhta.org/poets/qais-rampuri,,-1974,
Qaisar Abbas,https://www.rekhta.org/poets/qaisar-abbas,,,
Qaisar Afghani,https://www.rekhta.org/poets/qaisar-afghani,,,
Qaisar Amravatwi,https://www.rekhta.org/poets/qaisar-amravatwi,Akola,1894 -1966,
Qaisar Azeez,https://www.rekhta.org/authors/qaisar-azeez,Delhi,1962,
Qaisar Haideri Dehlvi,https://www.rekhta.org/poets/qaisar-haideri-dehlvi,Delhi,1928 -1992,
Qaisar hayat,https://www.rekhta.org/poets/qaisar-hayat,,,
Qaisar Nizami,https://www.rekhta.org/poets/qaisar-nizami,,,
Qaisar Qalandar,https://www.rekhta.org/poets/qaisar-qalandar,,,
Qaisar Shameem,https://www.rekhta.org/poets/qaisar-shameem,West Bengal,1936 -2021,
Qaisar Siddiqi,https://www.rekhta.org/poets/qaisar-siddiqi,Bihar,1937 -2018,
Qaisar Tamkeen,https://www.rekhta.org/authors/qaisar-tamkeen,,1938,
Qaisar Usmani,https://www.rekhta.org/poets/qaisar-usmani,Mumbai,1919 -2000,
Qaisar Zahidi,https://www.rekhta.org/authors/qaisar-zahidi,,,
Qaisar Ziya Qaisar,https://www.rekhta.org/poets/qaisar-ziya-qaisar,,,
Qaisarul Jafri,https://www.rekhta.org/poets/qaisarul-jafri,Mumbai,1926 -2005,"Famous for his ghazal ""Divaron se mil kar rona achcha lagta hai""."
Qalaq Merathi,https://www.rekhta.org/poets/qalaq-merathi,,1832/3 -1880,
Qaleel Jhansvi,https://www.rekhta.org/poets/qaleel-jhansvi,Gurgaon,1951,
Qamar Aasi,https://www.rekhta.org/poets/qamar-aasi,,1987,
Qamar Abbas Qamar,https://www.rekhta.org/poets/qamar-abbas-qamar,Delhi,1993,Prominent among upcoming generation of urdu poets.
Qamar Ahsan,https://www.rekhta.org/authors/qamar-ahsan,,1943,
Qamar Anjum,https://www.rekhta.org/authors/qamar-anjum,,1971,
Qamar Badarpuri,https://www.rekhta.org/poets/qamar-badarpuri,,,
Qamar Badayuni,https://www.rekhta.org/poets/qamar-badayuni,Badayun,1876 -1941,
Qamar Gwaliari,https://www.rekhta.org/authors/qamar-gwaliari,Gwalior,,
Qamar Hashmi,https://www.rekhta.org/poets/qamar-hashmi,Karachi,1924 -1993,
Qamar Hilali,https://www.rekhta.org/authors/qamar-hilali,,,
Qamar Iqbal,https://www.rekhta.org/poets/qamar-iqbal,Aurangabad,1944 -1988,
Qamar Jahan Naseer,https://www.rekhta.org/poets/qamar-jahan-naseer,Allahabd,,
Qamar Jalalabadi,https://www.rekhta.org/poets/qamar-jalalabadi,Punjab,1917 -2003,
Qamar Jalalvi,https://www.rekhta.org/poets/qamar-jalalvi,Karachi,1887 -1968,Famous indian poet who migrated to Pakistan. He earned polularity with many of his oft-quoted shers.
Qamar Jameel,https://www.rekhta.org/poets/qamar-jameel,Karachi,1927 -2000,
Qamar Javed,https://www.rekhta.org/poets/qamar-javed,,,
Qamar Malal,https://www.rekhta.org/poets/qamar-malal,Balochistan,1992,
Qamar Moradabadi,https://www.rekhta.org/poets/qamar-moradabadi,,1910 -1987,
Qamar Naqvi,https://www.rekhta.org/poets/qamar-naqvi,USA,,
Qamar Qadeer Iram,https://www.rekhta.org/authors/qamar-qadeer-iram,,,
R P Shokh,https://www.rekhta.org/poets/r-p-shokh,Haryana,,
R. K. Joshi,https://www.rekhta.org/poets/r-k-joshi,,1936 -2008,
Raabia Pinhan,https://www.rekhta.org/poets/raabia-pinhan,Allahabd,1906 -1972,
Raakesh ulfat,https://www.rekhta.org/poets/raakesh-ulfat,Amritsar,1961,
Raaz Allahabadi,https://www.rekhta.org/poets/raaz-allahabadi,Allahabad,1929 -1996,
Raaz Dehalvi,https://www.rekhta.org/poets/raaz-dehalvi,Delhi,1983,
Raaz Layalpuri,https://www.rekhta.org/poets/raaz-layalpuri,Lyallpur,1920,
Raaz Muradabadi,https://www.rekhta.org/poets/raaz-muradabadi,,1916 -1982,
Raaz Rampuri,https://www.rekhta.org/poets/raaz-rampuri,Rampur,1883 -1918,
Raaz Yazdani,https://www.rekhta.org/poets/raaz-yazdani,,1908 -1963,
Raazdan Raaz,https://www.rekhta.org/authors/raazdan-raaz,Mumbai,,
Rab Nawaz Mael,https://www.rekhta.org/poets/rab-nawaz-mael,,,
Rabab Rashidi,https://www.rekhta.org/poets/rabab-rashidi,Lucknow,,
Rabeea Saleem,https://www.rekhta.org/authors/rabeea-saleem,Kamoke,1979,
Rabia Al Raba,https://www.rekhta.org/authors/rabia-al-raba,Lahore,1974,"Young story writer, critic, and columnist from Pakistan; also known for her individual critical stance."
Rabia Barni,https://www.rekhta.org/authors/rabia-barni,,1924,
Rabia Basri,https://www.rekhta.org/poets/rabia-basri,Gilgit,1980,
Rabia Fakhri,https://www.rekhta.org/poets/rabia-fakhri,,,
Rabia Sultana Nashad,https://www.rekhta.org/poets/rabia-sultana-nashad,,1921,
Rabindranath Tagore,https://www.rekhta.org/authors/rabindranath-tagore-1,Kolkata,1861 -1941,"Bengali polymath who was active as a poet, writer, playwright, composer, philosopher, social reformer, and painter during the age of Bengal Renaissance. The only Indian-origin author to be awarded the Nobel Prize in literature."
Radhe Shiyam Rastogi Ahqar,https://www.rekhta.org/poets/radhe-shiyam-rastogi-ahqar,,,
Radheshyam Sharma,https://www.rekhta.org/poets/radheshyam-sharma,,1936 -2021,
Raees Akhtar,https://www.rekhta.org/poets/raees-akhtar,Hyderabad,1935,
Raees Ansari,https://www.rekhta.org/poets/raees-ansari,Lucknow,1951,
Raees Baghi,https://www.rekhta.org/poets/raees-baghi,,,
Raees Faraz,https://www.rekhta.org/poets/raees-faraz,,,
Raees minai,https://www.rekhta.org/poets/raees-minai,,,
Raees Narvi,https://www.rekhta.org/poets/raees-narvi,,,
Raees Niyazi,https://www.rekhta.org/poets/raees-niyazi,Sonipat,1920 -1994,
Raees Rampuri,https://www.rekhta.org/authors/raees-rampuri,,1930,
Raees Warsi,https://www.rekhta.org/poets/raees-warsi,New York,1963,
Raeesuddin Fareedi,https://www.rekhta.org/poets/raeesuddin-fareedi,,,
Raeesuddin Raees,https://www.rekhta.org/poets/raeesuddin-raees,Aligarh,1948,
Raeesuddin Tahoor Jafri,https://www.rekhta.org/poets/raeesuddin-tahoor-jafri,,,
Rafaaqat Hayaat,https://www.rekhta.org/authors/rafaaqat-hayaat,Karachi,,Represents the new generation of Pakistani fiction writers; known for his novel 'Meer Wah Ki Raatein'
Rafat Shameem,https://www.rekhta.org/poets/rafat-shameem,,,
Rafeeq Anjum,https://www.rekhta.org/authors/rafeeq-anjum,,,
Rafeeq Gulab,https://www.rekhta.org/poets/rafeeq-gulab,,,
Rafeeq Jabir,https://www.rekhta.org/authors/rafeeq-jabir,Gaya,1931,
Rafeeq Pilibhiti,https://www.rekhta.org/authors/rafeeq-pilibhiti,Aligarh,1933,
Rafi Ahmad,https://www.rekhta.org/authors/rafi-ahmad,,,
Rafi Ahmad Aali,https://www.rekhta.org/authors/rafi-ahmad-aali,,,
Rafi Badayuni,https://www.rekhta.org/authors/rafi-badayuni,,,
Rafi Raza,https://www.rekhta.org/poets/rafi-raza,Toronto,1962,
Rafi Sirsivi,https://www.rekhta.org/poets/rafi-sirsivi,,1952 -2019,
Rafi Yusufi Mahram,https://www.rekhta.org/poets/rafi-yusufi-mahram,,,
Rafia Manzoorul Ameen,https://www.rekhta.org/authors/rafia-manzoorul-ameen,Jaipur,1934,
Rafia Shabnam Abidi,https://www.rekhta.org/poets/rafia-shabnam-abidi,Mumbai,1943,
Rafia Zainab,https://www.rekhta.org/poets/rafia-zainab,Bangalore,1995,
Rafie Ajmeri,https://www.rekhta.org/poets/rafie-ajmeri,,1907 -1939,
S A Mehdi,https://www.rekhta.org/poets/s-a-mehdi,United Kingdom,,
S Masooque Ahmad  new,https://www.rekhta.org/poets/s-masooque-ahmad,kashmir,1992,
S. H. Bihari,https://www.rekhta.org/poets/s-h-bihari-1,Deoghar,1920 -1987,Lyricist and poet
S. K. Pottekkatt,https://www.rekhta.org/authors/s-k-pottekkatt,,1913 -1982,
S. M. Salim Tanveer,https://www.rekhta.org/poets/s-m-salim-tanveer,,,
S. Nooruddin Anwar Bhopali,https://www.rekhta.org/authors/s-nooruddin-anwar-bhopali,,,
Saa’in Alig,https://www.rekhta.org/poets/saa-in-alig,Aligarh,,
saabir jauharii,https://www.rekhta.org/poets/saabir-jauharii,Lucknow,1965,
Saabir Usmani,https://www.rekhta.org/poets/saabir-usmani,Mirzapur,1979,
Saadat Aabidi,https://www.rekhta.org/authors/saadat-aabidi,Bhopal,,
Saadat Bandvi,https://www.rekhta.org/poets/saadat-bandvi,,,
Saadat Hasan Manto,https://www.rekhta.org/authors/saadat-hasan-manto,Lahore,1912 -1955,"World-renowned Urdu fiction writers. Known for masterpieces like Thanda Gosht, Khol Do, Toba Tek Singh etc."
Saadat Nazeer,https://www.rekhta.org/authors/saadat-nazeer,Hyderabad,1926,
Saadat Saeed,https://www.rekhta.org/poets/saadat-saeed,Lahore,1949,
Saadat Syed,https://www.rekhta.org/poets/saadat-syed,,,
Saadullah Kaleem,https://www.rekhta.org/poets/saadullah-kaleem,,-2004,
